# NIST-based Proton Transport Lookup Table
# Material: Liquid water (density = 1.0 g/cm³)
# Energy range: 0.01 - 250.0 MeV
# Step length: 1.0 mm
#
# Column descriptions:
# 1: Energy [MeV] - Proton kinetic energy
# 2: StoppingPower [MeV/mm] - dE/dx from NIST PSTAR
# 3: LET [keV/um] - Linear Energy Transfer (same as stopping power)
# 4: Range [mm] - CSDA range integrated from stopping power
# 5: ScatteringAngle [rad] - RMS scattering angle per step (Highland formula)
# 6: ScatteringAngle [deg] - RMS scattering angle in degrees
# 7: Beta - v/c relativistic velocity
# 8: ResidualEnergy [MeV] - Energy after 1 mm step
#
Energy_MeV,StoppingPower_MeV_mm,LET_keV_um,Range_mm,ScatteringAngle_rad,ScatteringAngle_deg,Beta,ResidualEnergy_MeV
1.274275e-01,8.468394e+00,8.468394e+00,1.058174e-02,2.180922e+00,1.249576e+02,1.647927e-02,0.000000e+00
1.296528e-01,8.415161e+00,8.415161e+00,1.084535e-02,2.143492e+00,1.228130e+02,1.662251e-02,0.000000e+00
1.319170e-01,8.362263e+00,8.362263e+00,1.111526e-02,2.106704e+00,1.207052e+02,1.676699e-02,0.000000e+00
1.342207e-01,8.309697e+00,8.309697e+00,1.139162e-02,2.070548e+00,1.186336e+02,1.691273e-02,0.000000e+00
1.365647e-01,8.257462e+00,8.257462e+00,1.167458e-02,2.035012e+00,1.165976e+02,1.705974e-02,0.000000e+00
1.389495e-01,8.205555e+00,8.205555e+00,1.196431e-02,2.000086e+00,1.145965e+02,1.720802e-02,0.000000e+00
1.413761e-01,8.153974e+00,8.153974e+00,1.226096e-02,1.965760e+00,1.126298e+02,1.735759e-02,0.000000e+00
1.438450e-01,8.102718e+00,8.102718e+00,1.256470e-02,1.932023e+00,1.106968e+02,1.750846e-02,0.000000e+00
1.463570e-01,8.051784e+00,8.051784e+00,1.287570e-02,1.898865e+00,1.087969e+02,1.766065e-02,0.000000e+00
1.489129e-01,8.001170e+00,8.001170e+00,1.319413e-02,1.866276e+00,1.069297e+02,1.781415e-02,0.000000e+00
1.515134e-01,7.951794e+00,7.951794e+00,1.352015e-02,1.834246e+00,1.050946e+02,1.796899e-02,0.000000e+00
1.541594e-01,7.903385e+00,7.903385e+00,1.385392e-02,1.802767e+00,1.032909e+02,1.812517e-02,0.000000e+00
1.568515e-01,7.855270e+00,7.855270e+00,1.419559e-02,1.771827e+00,1.015182e+02,1.828271e-02,0.000000e+00
1.595907e-01,7.807449e+00,7.807449e+00,1.454536e-02,1.741418e+00,9.977593e+01,1.844162e-02,0.000000e+00
1.623777e-01,7.759919e+00,7.759919e+00,1.490341e-02,1.711532e+00,9.806355e+01,1.860190e-02,0.000000e+00
1.652133e-01,7.712678e+00,7.712678e+00,1.526996e-02,1.682158e+00,9.638057e+01,1.876359e-02,0.000000e+00
1.680985e-01,7.665724e+00,7.665724e+00,1.564518e-02,1.653289e+00,9.472647e+01,1.892667e-02,0.000000e+00
1.710341e-01,7.619057e+00,7.619057e+00,1.602930e-02,1.624915e+00,9.310076e+01,1.909117e-02,0.000000e+00
1.740209e-01,7.572674e+00,7.572674e+00,1.642252e-02,1.597028e+00,9.150296e+01,1.925710e-02,0.000000e+00
1.770599e-01,7.526572e+00,7.526572e+00,1.682505e-02,1.569620e+00,8.993258e+01,1.942448e-02,0.000000e+00
1.801520e-01,7.480752e+00,7.480752e+00,1.723713e-02,1.542682e+00,8.838915e+01,1.959330e-02,0.000000e+00
1.832981e-01,7.435211e+00,7.435211e+00,1.765897e-02,1.516206e+00,8.687221e+01,1.976359e-02,0.000000e+00
1.864991e-01,7.389947e+00,7.389947e+00,1.809080e-02,1.490185e+00,8.538131e+01,1.993537e-02,0.000000e+00
1.897560e-01,7.344958e+00,7.344958e+00,1.853287e-02,1.464611e+00,8.391600e+01,2.010863e-02,0.000000e+00
1.930698e-01,7.300243e+00,7.300243e+00,1.898541e-02,1.439475e+00,8.247584e+01,2.028340e-02,0.000000e+00
1.964414e-01,7.255801e+00,7.255801e+00,1.944868e-02,1.414771e+00,8.106040e+01,2.045969e-02,0.000000e+00
1.998720e-01,7.211629e+00,7.211629e+00,1.992292e-02,1.390491e+00,7.966925e+01,2.063750e-02,0.000000e+00
2.033624e-01,7.168185e+00,7.168185e+00,2.040838e-02,1.366627e+00,7.830198e+01,2.081687e-02,0.000000e+00
2.069138e-01,7.125020e+00,7.125020e+00,2.090532e-02,1.343174e+00,7.695818e+01,2.099779e-02,0.000000e+00
2.105272e-01,7.082114e+00,7.082114e+00,2.141400e-02,1.320122e+00,7.563744e+01,2.118028e-02,0.000000e+00
2.142037e-01,7.039468e+00,7.039468e+00,2.193469e-02,1.297467e+00,7.433937e+01,2.136436e-02,0.000000e+00
2.179445e-01,6.997078e+00,6.997078e+00,2.246769e-02,1.275200e+00,7.306358e+01,2.155003e-02,0.000000e+00
